trial_type,correct_target,trial_path,source_path,target1_path,target2_path,s1_ind,s1_shape,s1_color,s1_size,s1_path,s2_ind,s2_shape,s2_color,s2_size,s2_path,t1_1_ind,t1_1_shape,t1_1_color,t1_1_size,t1_1_path,t1_2_ind,t1_2_shape,t1_2_color,t1_2_size,t1_2_path,t2_1_ind,t2_1_shape,t2_1_color,t2_1_size,t2_1_path,t2_2_ind,t2_2_shape,t2_2_color,t2_2_size,t2_2_path
sameShape,1.0,data/RMTS/trial10/trial.png,data/RMTS/trial10/source_pair.png,data/RMTS/trial10/target1_pair.png,data/RMTS/trial10/target2_pair.png,10.0,star,green,small,data/RMTS/trial10/source1.png,10.0,star,green,small,data/RMTS/trial10/source2.png,17.0,heart,red,large,data/RMTS/trial10/target1_1.png,9.0,star,red,large,data/RMTS/trial10/target1_2.png,31.0,cross,purple,large,data/RMTS/trial10/target2_1.png,31.0,cross,purple,large,data/RMTS/trial10/target2_2.png
sameShape,2.0,data/RMTS/trial11/trial.png,data/RMTS/trial11/source_pair.png,data/RMTS/trial11/target1_pair.png,data/RMTS/trial11/target2_pair.png,11.0,star,green,large,data/RMTS/trial11/source1.png,11.0,star,green,large,data/RMTS/trial11/source2.png,28.0,cross,blue,small,data/RMTS/trial11/target1_1.png,28.0,cross,blue,small,data/RMTS/trial11/target1_2.png,23.0,heart,purple,large,data/RMTS/trial11/target2_1.png,7.0,triangle,purple,large,data/RMTS/trial11/target2_2.png
sameShape,1.0,data/RMTS/trial12/trial.png,data/RMTS/trial12/source_pair.png,data/RMTS/trial12/target1_pair.png,data/RMTS/trial12/target2_pair.png,12.0,star,blue,small,data/RMTS/trial12/source1.png,12.0,star,blue,small,data/RMTS/trial12/source2.png,8.0,star,red,small,data/RMTS/trial12/target1_1.png,0.0,triangle,red,small,data/RMTS/trial12/target1_2.png,3.0,triangle,green,large,data/RMTS/trial12/target2_1.png,3.0,triangle,green,large,data/RMTS/trial12/target2_2.png
sameShape,2.0,data/RMTS/trial13/trial.png,data/RMTS/trial13/source_pair.png,data/RMTS/trial13/target1_pair.png,data/RMTS/trial13/target2_pair.png,13.0,star,blue,large,data/RMTS/trial13/source1.png,13.0,star,blue,large,data/RMTS/trial13/source2.png,23.0,heart,purple,large,data/RMTS/trial13/target1_1.png,23.0,heart,purple,large,data/RMTS/trial13/target1_2.png,15.0,star,purple,large,data/RMTS/trial13/target2_1.png,31.0,cross,purple,large,data/RMTS/trial13/target2_2.png
sameShape,2.0,data/RMTS/trial14/trial.png,data/RMTS/trial14/source_pair.png,data/RMTS/trial14/target1_pair.png,data/RMTS/trial14/target2_pair.png,14.0,star,purple,small,data/RMTS/trial14/source1.png,14.0,star,purple,small,data/RMTS/trial14/source2.png,17.0,heart,red,large,data/RMTS/trial14/target1_1.png,17.0,heart,red,large,data/RMTS/trial14/target1_2.png,28.0,cross,blue,small,data/RMTS/trial14/target2_1.png,20.0,heart,blue,small,data/RMTS/trial14/target2_2.png
sameShape,1.0,data/RMTS/trial15/trial.png,data/RMTS/trial15/source_pair.png,data/RMTS/trial15/target1_pair.png,data/RMTS/trial15/target2_pair.png,15.0,star,purple,large,data/RMTS/trial15/source1.png,15.0,star,purple,large,data/RMTS/trial15/source2.png,31.0,cross,purple,large,data/RMTS/trial15/target1_1.png,7.0,triangle,purple,large,data/RMTS/trial15/target1_2.png,1.0,triangle,red,large,data/RMTS/trial15/target2_1.png,1.0,triangle,red,large,data/RMTS/trial15/target2_2.png
sameShape,2.0,data/RMTS/trial16/trial.png,data/RMTS/trial16/source_pair.png,data/RMTS/trial16/target1_pair.png,data/RMTS/trial16/target2_pair.png,16.0,heart,red,small,data/RMTS/trial16/source1.png,16.0,heart,red,small,data/RMTS/trial16/source2.png,5.0,triangle,blue,large,data/RMTS/trial16/target1_1.png,5.0,triangle,blue,large,data/RMTS/trial16/target1_2.png,31.0,cross,purple,large,data/RMTS/trial16/target2_1.png,15.0,star,purple,large,data/RMTS/trial16/target2_2.png
sameShape,1.0,data/RMTS/trial17/trial.png,data/RMTS/trial17/source_pair.png,data/RMTS/trial17/target1_pair.png,data/RMTS/trial17/target2_pair.png,17.0,heart,red,large,data/RMTS/trial17/source1.png,17.0,heart,red,large,data/RMTS/trial17/source2.png,20.0,heart,blue,small,data/RMTS/trial17/target1_1.png,28.0,cross,blue,small,data/RMTS/trial17/target1_2.png,30.0,cross,purple,small,data/RMTS/trial17/target2_1.png,30.0,cross,purple,small,data/RMTS/trial17/target2_2.png
sameShape,1.0,data/RMTS/trial18/trial.png,data/RMTS/trial18/source_pair.png,data/RMTS/trial18/target1_pair.png,data/RMTS/trial18/target2_pair.png,18.0,heart,green,small,data/RMTS/trial18/source1.png,18.0,heart,green,small,data/RMTS/trial18/source2.png,18.0,heart,green,small,data/RMTS/trial18/target1_1.png,26.0,cross,green,small,data/RMTS/trial18/target1_2.png,30.0,cross,purple,small,data/RMTS/trial18/target2_1.png,30.0,cross,purple,small,data/RMTS/trial18/target2_2.png
sameShape,1.0,data/RMTS/trial19/trial.png,data/RMTS/trial19/source_pair.png,data/RMTS/trial19/target1_pair.png,data/RMTS/trial19/target2_pair.png,19.0,heart,green,large,data/RMTS/trial19/source1.png,19.0,heart,green,large,data/RMTS/trial19/source2.png,8.0,star,red,small,data/RMTS/trial19/target1_1.png,0.0,triangle,red,small,data/RMTS/trial19/target1_2.png,4.0,triangle,blue,small,data/RMTS/trial19/target2_1.png,4.0,triangle,blue,small,data/RMTS/trial19/target2_2.png
sameShape,2.0,data/RMTS/trial20/trial.png,data/RMTS/trial20/source_pair.png,data/RMTS/trial20/target1_pair.png,data/RMTS/trial20/target2_pair.png,20.0,heart,blue,small,data/RMTS/trial20/source1.png,20.0,heart,blue,small,data/RMTS/trial20/source2.png,31.0,cross,purple,large,data/RMTS/trial20/target1_1.png,31.0,cross,purple,large,data/RMTS/trial20/target1_2.png,12.0,star,blue,small,data/RMTS/trial20/target2_1.png,28.0,cross,blue,small,data/RMTS/trial20/target2_2.png
sameShape,2.0,data/RMTS/trial21/trial.png,data/RMTS/trial21/source_pair.png,data/RMTS/trial21/target1_pair.png,data/RMTS/trial21/target2_pair.png,21.0,heart,blue,large,data/RMTS/trial21/source1.png,21.0,heart,blue,large,data/RMTS/trial21/source2.png,6.0,triangle,purple,small,data/RMTS/trial21/target1_1.png,6.0,triangle,purple,small,data/RMTS/trial21/target1_2.png,18.0,heart,green,small,data/RMTS/trial21/target2_1.png,26.0,cross,green,small,data/RMTS/trial21/target2_2.png
sameShape,1.0,data/RMTS/trial22/trial.png,data/RMTS/trial22/source_pair.png,data/RMTS/trial22/target1_pair.png,data/RMTS/trial22/target2_pair.png,22.0,heart,purple,small,data/RMTS/trial22/source1.png,22.0,heart,purple,small,data/RMTS/trial22/source2.png,28.0,cross,blue,small,data/RMTS/trial22/target1_1.png,4.0,triangle,blue,small,data/RMTS/trial22/target1_2.png,0.0,triangle,red,small,data/RMTS/trial22/target2_1.png,0.0,triangle,red,small,data/RMTS/trial22/target2_2.png
sameShape,2.0,data/RMTS/trial23/trial.png,data/RMTS/trial23/source_pair.png,data/RMTS/trial23/target1_pair.png,data/RMTS/trial23/target2_pair.png,23.0,heart,purple,large,data/RMTS/trial23/source1.png,23.0,heart,purple,large,data/RMTS/trial23/source2.png,27.0,cross,green,large,data/RMTS/trial23/target1_1.png,27.0,cross,green,large,data/RMTS/trial23/target1_2.png,12.0,star,blue,small,data/RMTS/trial23/target2_1.png,4.0,triangle,blue,small,data/RMTS/trial23/target2_2.png
sameShape,1.0,data/RMTS/trial24/trial.png,data/RMTS/trial24/source_pair.png,data/RMTS/trial24/target1_pair.png,data/RMTS/trial24/target2_pair.png,24.0,cross,red,small,data/RMTS/trial24/source1.png,24.0,cross,red,small,data/RMTS/trial24/source2.png,19.0,heart,green,large,data/RMTS/trial24/target1_1.png,11.0,star,green,large,data/RMTS/trial24/target1_2.png,20.0,heart,blue,small,data/RMTS/trial24/target2_1.png,20.0,heart,blue,small,data/RMTS/trial24/target2_2.png
sameShape,1.0,data/RMTS/trial25/trial.png,data/RMTS/trial25/source_pair.png,data/RMTS/trial25/target1_pair.png,data/RMTS/trial25/target2_pair.png,25.0,cross,red,large,data/RMTS/trial25/source1.png,25.0,cross,red,large,data/RMTS/trial25/source2.png,7.0,triangle,purple,large,data/RMTS/trial25/target1_1.png,15.0,star,purple,large,data/RMTS/trial25/target1_2.png,2.0,triangle,green,small,data/RMTS/trial25/target2_1.png,2.0,triangle,green,small,data/RMTS/trial25/target2_2.png
sameShape,2.0,data/RMTS/trial26/trial.png,data/RMTS/trial26/source_pair.png,data/RMTS/trial26/target1_pair.png,data/RMTS/trial26/target2_pair.png,26.0,cross,green,small,data/RMTS/trial26/source1.png,26.0,cross,green,small,data/RMTS/trial26/source2.png,0.0,triangle,red,small,data/RMTS/trial26/target1_1.png,0.0,triangle,red,small,data/RMTS/trial26/target1_2.png,31.0,cross,purple,large,data/RMTS/trial26/target2_1.png,23.0,heart,purple,large,data/RMTS/trial26/target2_2.png
sameShape,2.0,data/RMTS/trial27/trial.png,data/RMTS/trial27/source_pair.png,data/RMTS/trial27/target1_pair.png,data/RMTS/trial27/target2_pair.png,27.0,cross,green,large,data/RMTS/trial27/source1.png,27.0,cross,green,large,data/RMTS/trial27/source2.png,0.0,triangle,red,small,data/RMTS/trial27/target1_1.png,0.0,triangle,red,small,data/RMTS/trial27/target1_2.png,10.0,star,green,small,data/RMTS/trial27/target2_1.png,18.0,heart,green,small,data/RMTS/trial27/target2_2.png
sameShape,2.0,data/RMTS/trial28/trial.png,data/RMTS/trial28/source_pair.png,data/RMTS/trial28/target1_pair.png,data/RMTS/trial28/target2_pair.png,28.0,cross,blue,small,data/RMTS/trial28/source1.png,28.0,cross,blue,small,data/RMTS/trial28/source2.png,16.0,heart,red,small,data/RMTS/trial28/target1_1.png,16.0,heart,red,small,data/RMTS/trial28/target1_2.png,8.0,star,red,small,data/RMTS/trial28/target2_1.png,0.0,triangle,red,small,data/RMTS/trial28/target2_2.png
sameShape,2.0,data/RMTS/trial29/trial.png,data/RMTS/trial29/source_pair.png,data/RMTS/trial29/target1_pair.png,data/RMTS/trial29/target2_pair.png,29.0,cross,blue,large,data/RMTS/trial29/source1.png,29.0,cross,blue,large,data/RMTS/trial29/source2.png,3.0,triangle,green,large,data/RMTS/trial29/target1_1.png,3.0,triangle,green,large,data/RMTS/trial29/target1_2.png,9.0,star,red,large,data/RMTS/trial29/target2_1.png,1.0,triangle,red,large,data/RMTS/trial29/target2_2.png
sameShape,2.0,data/RMTS/trial30/trial.png,data/RMTS/trial30/source_pair.png,data/RMTS/trial30/target1_pair.png,data/RMTS/trial30/target2_pair.png,30.0,cross,purple,small,data/RMTS/trial30/source1.png,30.0,cross,purple,small,data/RMTS/trial30/source2.png,8.0,star,red,small,data/RMTS/trial30/target1_1.png,8.0,star,red,small,data/RMTS/trial30/target1_2.png,22.0,heart,purple,small,data/RMTS/trial30/target2_1.png,30.0,cross,purple,small,data/RMTS/trial30/target2_2.png
sameShape,1.0,data/RMTS/trial31/trial.png,data/RMTS/trial31/source_pair.png,data/RMTS/trial31/target1_pair.png,data/RMTS/trial31/target2_pair.png,31.0,cross,purple,large,data/RMTS/trial31/source1.png,31.0,cross,purple,large,data/RMTS/trial31/source2.png,2.0,triangle,green,small,data/RMTS/trial31/target1_1.png,10.0,star,green,small,data/RMTS/trial31/target1_2.png,16.0,heart,red,small,data/RMTS/trial31/target2_1.png,16.0,heart,red,small,data/RMTS/trial31/target2_2.png
sameColor,1.0,data/RMTS/trial32/trial.png,data/RMTS/trial32/source_pair.png,data/RMTS/trial32/target1_pair.png,data/RMTS/trial32/target2_pair.png,0.0,triangle,red,small,data/RMTS/trial32/source1.png,0.0,triangle,red,small,data/RMTS/trial32/source2.png,0.0,triangle,red,small,data/RMTS/trial32/target1_1.png,2.0,triangle,green,small,data/RMTS/trial32/target1_2.png,18.0,heart,green,small,data/RMTS/trial32/target2_1.png,18.0,heart,green,small,data/RMTS/trial32/target2_2.png
sameColor,2.0,data/RMTS/trial33/trial.png,data/RMTS/trial33/source_pair.png,data/RMTS/trial33/target1_pair.png,data/RMTS/trial33/target2_pair.png,1.0,triangle,red,large,data/RMTS/trial33/source1.png,1.0,triangle,red,large,data/RMTS/trial33/source2.png,12.0,star,blue,small,data/RMTS/trial33/target1_1.png,12.0,star,blue,small,data/RMTS/trial33/target1_2.png,22.0,heart,purple,small,data/RMTS/trial33/target2_1.png,20.0,heart,blue,small,data/RMTS/trial33/target2_2.png
sameColor,2.0,data/RMTS/trial34/trial.png,data/RMTS/trial34/source_pair.png,data/RMTS/trial34/target1_pair.png,data/RMTS/trial34/target2_pair.png,2.0,triangle,green,small,data/RMTS/trial34/source1.png,2.0,triangle,green,small,data/RMTS/trial34/source2.png,17.0,heart,red,large,data/RMTS/trial34/target1_1.png,17.0,heart,red,large,data/RMTS/trial34/target1_2.png,13.0,star,blue,large,data/RMTS/trial34/target2_1.png,15.0,star,purple,large,data/RMTS/trial34/target2_2.png
sameColor,2.0,data/RMTS/trial35/trial.png,data/RMTS/trial35/source_pair.png,data/RMTS/trial35/target1_pair.png,data/RMTS/trial35/target2_pair.png,3.0,triangle,green,large,data/RMTS/trial35/source1.png,3.0,triangle,green,large,data/RMTS/trial35/source2.png,13.0,star,blue,large,data/RMTS/trial35/target1_1.png,13.0,star,blue,large,data/RMTS/trial35/target1_2.png,9.0,star,red,large,data/RMTS/trial35/target2_1.png,15.0,star,purple,large,data/RMTS/trial35/target2_2.png
sameColor,1.0,data/RMTS/trial36/trial.png,data/RMTS/trial36/source_pair.png,data/RMTS/trial36/target1_pair.png,data/RMTS/trial36/target2_pair.png,4.0,triangle,blue,small,data/RMTS/trial36/source1.png,4.0,triangle,blue,small,data/RMTS/trial36/source2.png,31.0,cross,purple,large,data/RMTS/trial36/target1_1.png,25.0,cross,red,large,data/RMTS/trial36/target1_2.png,27.0,cross,green,large,data/RMTS/trial36/target2_1.png,27.0,cross,green,large,data/RMTS/trial36/target2_2.png
sameColor,1.0,data/RMTS/trial37/trial.png,data/RMTS/trial37/source_pair.png,data/RMTS/trial37/target1_pair.png,data/RMTS/trial37/target2_pair.png,5.0,triangle,blue,large,data/RMTS/trial37/source1.png,5.0,triangle,blue,large,data/RMTS/trial37/source2.png,7.0,triangle,purple,large,data/RMTS/trial37/target1_1.png,1.0,triangle,red,large,data/RMTS/trial37/target1_2.png,8.0,star,red,small,data/RMTS/trial37/target2_1.png,8.0,star,red,small,data/RMTS/trial37/target2_2.png
sameColor,1.0,data/RMTS/trial38/trial.png,data/RMTS/trial38/source_pair.png,data/RMTS/trial38/target1_pair.png,data/RMTS/trial38/target2_pair.png,6.0,triangle,purple,small,data/RMTS/trial38/source1.png,6.0,triangle,purple,small,data/RMTS/trial38/source2.png,25.0,cross,red,large,data/RMTS/trial38/target1_1.png,31.0,cross,purple,large,data/RMTS/trial38/target1_2.png,27.0,cross,green,large,data/RMTS/trial38/target2_1.png,27.0,cross,green,large,data/RMTS/trial38/target2_2.png
sameColor,1.0,data/RMTS/trial39/trial.png,data/RMTS/trial39/source_pair.png,data/RMTS/trial39/target1_pair.png,data/RMTS/trial39/target2_pair.png,7.0,triangle,purple,large,data/RMTS/trial39/source1.png,7.0,triangle,purple,large,data/RMTS/trial39/source2.png,12.0,star,blue,small,data/RMTS/trial39/target1_1.png,14.0,star,purple,small,data/RMTS/trial39/target1_2.png,29.0,cross,blue,large,data/RMTS/trial39/target2_1.png,29.0,cross,blue,large,data/RMTS/trial39/target2_2.png
sameColor,1.0,data/RMTS/trial40/trial.png,data/RMTS/trial40/source_pair.png,data/RMTS/trial40/target1_pair.png,data/RMTS/trial40/target2_pair.png,8.0,star,red,small,data/RMTS/trial40/source1.png,8.0,star,red,small,data/RMTS/trial40/source2.png,0.0,triangle,red,small,data/RMTS/trial40/target1_1.png,6.0,triangle,purple,small,data/RMTS/trial40/target1_2.png,30.0,cross,purple,small,data/RMTS/trial40/target2_1.png,30.0,cross,purple,small,data/RMTS/trial40/target2_2.png
sameColor,2.0,data/RMTS/trial41/trial.png,data/RMTS/trial41/source_pair.png,data/RMTS/trial41/target1_pair.png,data/RMTS/trial41/target2_pair.png,9.0,star,red,large,data/RMTS/trial41/source1.png,9.0,star,red,large,data/RMTS/trial41/source2.png,19.0,heart,green,large,data/RMTS/trial41/target1_1.png,19.0,heart,green,large,data/RMTS/trial41/target1_2.png,0.0,triangle,red,small,data/RMTS/trial41/target2_1.png,6.0,triangle,purple,small,data/RMTS/trial41/target2_2.png
sameColor,2.0,data/RMTS/trial42/trial.png,data/RMTS/trial42/source_pair.png,data/RMTS/trial42/target1_pair.png,data/RMTS/trial42/target2_pair.png,10.0,star,green,small,data/RMTS/trial42/source1.png,10.0,star,green,small,data/RMTS/trial42/source2.png,16.0,heart,red,small,data/RMTS/trial42/target1_1.png,16.0,heart,red,small,data/RMTS/trial42/target1_2.png,20.0,heart,blue,small,data/RMTS/trial42/target2_1.png,18.0,heart,green,small,data/RMTS/trial42/target2_2.png
sameColor,2.0,data/RMTS/trial43/trial.png,data/RMTS/trial43/source_pair.png,data/RMTS/trial43/target1_pair.png,data/RMTS/trial43/target2_pair.png,11.0,star,green,large,data/RMTS/trial43/source1.png,11.0,star,green,large,data/RMTS/trial43/source2.png,5.0,triangle,blue,large,data/RMTS/trial43/target1_1.png,5.0,triangle,blue,large,data/RMTS/trial43/target1_2.png,21.0,heart,blue,large,data/RMTS/trial43/target2_1.png,19.0,heart,green,large,data/RMTS/trial43/target2_2.png
sameColor,2.0,data/RMTS/trial44/trial.png,data/RMTS/trial44/source_pair.png,data/RMTS/trial44/target1_pair.png,data/RMTS/trial44/target2_pair.png,12.0,star,blue,small,data/RMTS/trial44/source1.png,12.0,star,blue,small,data/RMTS/trial44/source2.png,3.0,triangle,green,large,data/RMTS/trial44/target1_1.png,3.0,triangle,green,large,data/RMTS/trial44/target1_2.png,7.0,triangle,purple,large,data/RMTS/trial44/target2_1.png,1.0,triangle,red,large,data/RMTS/trial44/target2_2.png
sameColor,1.0,data/RMTS/trial45/trial.png,data/RMTS/trial45/source_pair.png,data/RMTS/trial45/target1_pair.png,data/RMTS/trial45/target2_pair.png,13.0,star,blue,large,data/RMTS/trial45/source1.png,13.0,star,blue,large,data/RMTS/trial45/source2.png,22.0,heart,purple,small,data/RMTS/trial45/target1_1.png,18.0,heart,green,small,data/RMTS/trial45/target1_2.png,19.0,heart,green,large,data/RMTS/trial45/target2_1.png,19.0,heart,green,large,data/RMTS/trial45/target2_2.png
sameColor,1.0,data/RMTS/trial46/trial.png,data/RMTS/trial46/source_pair.png,data/RMTS/trial46/target1_pair.png,data/RMTS/trial46/target2_pair.png,14.0,star,purple,small,data/RMTS/trial46/source1.png,14.0,star,purple,small,data/RMTS/trial46/source2.png,16.0,heart,red,small,data/RMTS/trial46/target1_1.png,20.0,heart,blue,small,data/RMTS/trial46/target1_2.png,0.0,triangle,red,small,data/RMTS/trial46/target2_1.png,0.0,triangle,red,small,data/RMTS/trial46/target2_2.png
sameColor,2.0,data/RMTS/trial47/trial.png,data/RMTS/trial47/source_pair.png,data/RMTS/trial47/target1_pair.png,data/RMTS/trial47/target2_pair.png,15.0,star,purple,large,data/RMTS/trial47/source1.png,15.0,star,purple,large,data/RMTS/trial47/source2.png,28.0,cross,blue,small,data/RMTS/trial47/target1_1.png,28.0,cross,blue,small,data/RMTS/trial47/target1_2.png,12.0,star,blue,small,data/RMTS/trial47/target2_1.png,14.0,star,purple,small,data/RMTS/trial47/target2_2.png
sameColor,2.0,data/RMTS/trial48/trial.png,data/RMTS/trial48/source_pair.png,data/RMTS/trial48/target1_pair.png,data/RMTS/trial48/target2_pair.png,16.0,heart,red,small,data/RMTS/trial48/source1.png,16.0,heart,red,small,data/RMTS/trial48/source2.png,26.0,cross,green,small,data/RMTS/trial48/target1_1.png,26.0,cross,green,small,data/RMTS/trial48/target1_2.png,13.0,star,blue,large,data/RMTS/trial48/target2_1.png,15.0,star,purple,large,data/RMTS/trial48/target2_2.png
sameColor,2.0,data/RMTS/trial49/trial.png,data/RMTS/trial49/source_pair.png,data/RMTS/trial49/target1_pair.png,data/RMTS/trial49/target2_pair.png,17.0,heart,red,large,data/RMTS/trial49/source1.png,17.0,heart,red,large,data/RMTS/trial49/source2.png,5.0,triangle,blue,large,data/RMTS/trial49/target1_1.png,5.0,triangle,blue,large,data/RMTS/trial49/target1_2.png,26.0,cross,green,small,data/RMTS/trial49/target2_1.png,30.0,cross,purple,small,data/RMTS/trial49/target2_2.png
sameColor,2.0,data/RMTS/trial50/trial.png,data/RMTS/trial50/source_pair.png,data/RMTS/trial50/target1_pair.png,data/RMTS/trial50/target2_pair.png,18.0,heart,green,small,data/RMTS/trial50/source1.png,18.0,heart,green,small,data/RMTS/trial50/source2.png,8.0,star,red,small,data/RMTS/trial50/target1_1.png,8.0,star,red,small,data/RMTS/trial50/target1_2.png,15.0,star,purple,large,data/RMTS/trial50/target2_1.png,9.0,star,red,large,data/RMTS/trial50/target2_2.png
sameColor,2.0,data/RMTS/trial51/trial.png,data/RMTS/trial51/source_pair.png,data/RMTS/trial51/target1_pair.png,data/RMTS/trial51/target2_pair.png,19.0,heart,green,large,data/RMTS/trial51/source1.png,19.0,heart,green,large,data/RMTS/trial51/source2.png,4.0,triangle,blue,small,data/RMTS/trial51/target1_1.png,4.0,triangle,blue,small,data/RMTS/trial51/target1_2.png,28.0,cross,blue,small,data/RMTS/trial51/target2_1.png,26.0,cross,green,small,data/RMTS/trial51/target2_2.png
sameColor,1.0,data/RMTS/trial52/trial.png,data/RMTS/trial52/source_pair.png,data/RMTS/trial52/target1_pair.png,data/RMTS/trial52/target2_pair.png,20.0,heart,blue,small,data/RMTS/trial52/source1.png,20.0,heart,blue,small,data/RMTS/trial52/source2.png,12.0,star,blue,small,data/RMTS/trial52/target1_1.png,8.0,star,red,small,data/RMTS/trial52/target1_2.png,6.0,triangle,purple,small,data/RMTS/trial52/target2_1.png,6.0,triangle,purple,small,data/RMTS/trial52/target2_2.png
